Name,"Role (artist, curator, collector, dealer, printer, publisher, gallerist, critic)",Bio ID -- just the number on this row; it is to be used to link people across tables,"Life/Active Dates (fairly certain these are a separate model in the database, but I will handle that part)",Address,City,State,Zip Code,Country
Henri-Gabriel Ibels,artist,97,1867-1936,,Paris,,,
Maximilien Luce,artist,98,1858-1941,,Paris,,,
Frédéric-Auguste Cazals,artist,99,1865-1941,,Paris,,,
Maurice Denis,artist,100,1870-1943,,Paris,,,
Camille Pissarro,artist,101,1830-1903,,Paris,,,
Lucien Pissarro,artist,102,1863-1944,,Paris,,,
Paul Signac,artist,103,1863-1935,,Paris,,,
Norbert Goeneutte,artist,104,1854-1894,,Paris,,,
Félicien Rops,artist,105,1833-1898,,Paris,,,
Henri-Gustave Jossot,artist,106,1866-1951,,Paris,,,
James Ensor,artist,107,1860-1949,,,,,
Henri Boutet,artist,108,1851-1919,,Paris,,,
Mary Cassatt,artist,109,1844-1926,,Paris,,,
Edgar Degas,artist,110,1834-1917,,Paris,,,
Marcellin Desboutin,artist,111,1823-1902,,Paris,,,
Alphonse Legros,artist,112,1837-1911,,Paris,,,
Henry Somm,artist,113,1844-1907,,Paris,,,
James Tissot,artist,114,1836-1902,,Paris,,,
Francis Seymour Haden,"artist, collector",115,1818-1910,,London,,,
Louis Anquetin,artist,116,1861-1932,,Paris,,,
Émile Bernard,artist,117,1868-1941,,Paris,,,
Eugène Delatre,artist,118,1864-1938,,Paris,,,
Charles Dulac,artist,119,1865-1898,,Paris,,,
René Philipon,collector,120,1870-1936,,Chevreuse,,,
Pierre Roche,artist,121,1855-1922,,Paris,,,
Robert de Domecy,collector,122,,,Paris,,,
Henri-Marie Petiet,collector,123,1894-1980,,Paris,,,
Rodolphe Bresdin,artist,124,1822-1885,,Bordeaux,,,
Imprimerie d'Arts,publisher,125,1890s,23 rue du Cherche-Midi,Paris,,,
Octave Uzanne,"critic, collector, curator",126,1851-1931,12 Quai Voltaire,Paris,,,
Campbell Dodgson,"collector, critic",127,1867-1948,,London,,,
Robert Danon,collector,128,,,Paris,,,
Alfred Strölin,dealer,129,,,Paris,,,
Jacques Doucet,collector,130,1853-1929,,Paris,,,
Atherton Curtis,collector,131,1863-1910,,New York,,,
Édouard Manet,artist,132,1832-1883,,Paris ,,,
Alfred Beurdeley,collector,133,1847-1919,79 rue de Clichy,Paris ,,,
Charles Meryon,artist,134,1821-1868,,Paris,,,
André Barrier,collector,135,1870-1957,,Paris,,,
Francis Edward Bliss,collector,136,1847-1930,,London,,,
Edwin Alfred Seasongood,collector,137,1876-1953,,New York,,,
Alfred Barrion,collector,138,1846-1903,,Bressuire,,,
Charles Saunier,"collector, critic",139,1865-1941,,Paris,,,
Emile Laffon,collector,140,1868-1931,,Paris,,,
