Artist Name,Print Title,Print ID,Exhibition Venue,Group Name,Exhibition Type,"Curator or Gallerist (you can just put the person's id here. or their name, and I can look up the id myself)","Bio ID (for column G) ** this column is redundant, see previous note",Address,City,State,Zip Code,Country,Exhibition TItle,Start Date,End Date,Citation,Notes,URL
Pierre Roche,,,Galerie Laffitte,,,,,,Paris,,,France,"Catalogue des peintures, pastels, aquarelles, et dessins modernes",4/1/1895,5/1/1895,,,
Odilon Redon,,,Galerie Laffitte,,,,,,Paris,,,France,"Catalogue des peintures, pastels, aquarelles, et dessins modernes",4/1/1895,5/1/1895,,,
Félicien Rops,,,Galerie Laffitte,,,,,,Paris,,,France,"Catalogue des peintures, pastels, aquarelles, et dessins modernes",4/1/1895,5/1/1895,,,
Henry Somm,,,Galerie Laffitte,,,,,,Paris,,,France,"Catalogue des peintures, pastels, aquarelles, et dessins modernes",4/1/1895,5/1/1895,,,
Théophile Steinlen,,,Galerie Laffitte,,,,,,Paris,,,France,"Catalogue des peintures, pastels, aquarelles, et dessins modernes",4/1/1895,5/1/1895,,,
Henri de Toulouse-Lautrec,,,Galerie Laffitte,,,,,,Paris,,,France,"Catalogue des peintures, pastels, aquarelles, et dessins modernes",4/1/1895,5/1/1895,,,
Félix Vallotton,,,Galerie Laffitte,,,,,,Paris,,,France,"Catalogue des peintures, pastels, aquarelles, et dessins modernes",4/1/1895,5/1/1895,,,
Édouard Vuillard,,,Galerie Laffitte,,,,,,Paris,,,France,"Catalogue des peintures, pastels, aquarelles, et dessins modernes",4/1/1895,5/1/1895,,,
Adolphe Willette ,,,Galerie Laffitte,,,,,,Paris,,,France,"Catalogue des peintures, pastels, aquarelles, et dessins modernes",4/1/1895,5/1/1895,,,
Hermann-Paul,,,La Plume,,,,,,Paris,,,France,Septième Exposition du Salon des Cent,,,,,
